from,to,weight
1,179,5
1,155,10
1,94,5
1,209,5
1,65,10
1,86,5
1,304,5
1,231,10
1,232,5
1,2,10
1,68,10
1,60,5
1,12,5
2,127,5
2,94,5
100,2,10
2,145,5
2,77,10
2,25,10
2,157,5
2,22,5
165,2,10
172,2,10
2,247,5
2,155,5
2,213,10
2,261,5
2,304,5
2,0,5
112,2,10
2,65,10
2,16,5
2,73,10
3,197,5
3,146,5
3,66,5
28,3,10
162,3,10
3,179,5
3,227,5
3,158,5
3,226,5
143,3,10
29,3,10
3,155,5
101,3,10
3,91,5
222,3,10
181,3,10
3,187,5
212,3,10
3,209,5
241,3,10
219,3,10
3,234,5
3,231,5
3,170,5
3,232,5
3,114,5
3,57,10
100,3,10
22,3,10
3,112,5
3,107,5
3,96,5
3,64,5
3,235,5
3,81,5
17,3,10
3,292,5
249,3,10
3,237,5
3,104,5
3,250,5
3,97,5
263,3,10
3,62,10
3,80,5
3,95,10
3,285,5
3,86,5
276,3,10
3,21,5
3,303,5
281,3,10
3,302,10
3,115,5
3,30,10
267,3,10
3,31,5
3,0,5
125,3,10
255,3,10
3,297,5
3,305,10
3,277,5
3,279,5
293,3,10
3,300,10
3,127,5
3,304,10
4,201,5
18,4,10
4,61,5
4,189,5
4,65,5
296,4,10
4,168,5
4,233,5
219,4,10
4,91,5
125,4,10
191,4,10
4,22,5
4,179,5
124,4,10
4,231,5
4,144,5
4,209,5
4,166,5
26,4,10
159,4,10
4,304,5
4,276,5
4,158,5
177,4,10
165,4,10
291,4,10
227,4,10
4,56,10
228,4,10
4,195,5
4,301,5
4,229,5
4,262,5
243,4,10
213,4,10
4,63,10
25,4,10
10,4,10
212,4,10
215,4,10
282,4,10
4,86,5
4,64,10
298,4,10
4,20,5
4,80,5
4,8,10
4,216,5
4,47,10
4,58,10
24,4,10
17,4,10
4,241,5
240,4,10
100,4,10
4,97,5
4,288,5
4,284,5
4,258,5
297,4,10
33,4,10
4,12,5
5,94,5
5,129,5
5,47,5
5,209,5
100,5,10
5,92,10
5,20,5
37,5,10
5,91,5
5,64,5
